#Contar ocurrencias
10 2.06e-06
1010 2.536e-05
2010 3.6955e-05
3010 5.125e-05
4010 6.6965e-05
5010 8.6977e-05
6010 0.000102126
7010 0.00011659
8010 0.000132217
9010 0.00014952
10010 0.000176694
11010 0.000183553
12010 0.000201391
13010 0.000218855
14010 0.000237893
15010 0.000255646
16010 0.00027179
17010 0.000289542
18010 0.000305121
19010 0.000322612
20010 0.000340894
21010 0.000357664
22010 0.000374822
23010 0.000389578
24010 0.000416687
25010 0.000400034
26010 0.000415417
27010 0.000431149
28010 0.000444363
29010 0.000455945
30010 0.000467879
31010 0.000481486
32010 0.00049598
33010 0.000524137
34010 0.000524135
35010 0.000538613
36010 0.00055296
37010 0.000567627
38010 0.000581823
39010 0.000596498
40010 0.000623234
41010 0.000629106
42010 0.000644394
43010 0.000661738
44010 0.000677983
45010 0.000694469
46010 0.00065102
47010 0.000569973
48010 0.000562064
49010 0.000533668
50010 0.000542303
51010 0.000554303
52010 0.000566526
53010 0.000582745
54010 0.000590493
55010 0.000634932
56010 0.00061289
57010 0.000623562
58010 0.000635842
59010 0.000650323
60010 0.000658423
61010 0.000669799
62010 0.000681103
63010 0.000691399
64010 0.000727577
65010 0.00071845
66010 0.0007266
67010 0.00073701
68010 0.000745858
69010 0.000757356
70010 0.000772103
71010 0.000780603
72010 0.000792439
73010 0.000803726
74010 0.000815996
75010 0.000831328
76010 0.000837946
77010 0.000872566
78010 0.000859256
79010 0.000871711
80010 0.000887067
81010 0.000895074
82010 0.000904561
83010 0.000915188
84010 0.000931244
85010 0.000937691
86010 0.000949177
87010 0.000961981
88010 0.000968279
89010 0.000979099
90010 0.000983333
91010 0.000990846
92010 0.00099751
93010 0.00100938
94010 0.00103793
95010 0.00102078
96010 0.00107444
97010 0.00103564
98010 0.00109022
99010 0.00105231
