#Contar ocurrencias.
10 4.928e-06
1010 3.4624e-05
2010 3.2323e-05
3010 3.1758e-05
4010 3.9307e-05
5010 5.1814e-05
6010 5.9109e-05
7010 6.9036e-05
8010 7.9386e-05
9010 8.9474e-05
10010 9.9552e-05
11010 0.00010906
12010 0.000118916
13010 0.00012874
14010 0.000138628
15010 0.000148651
16010 0.000158296
17010 0.000168591
18010 0.000177739
19010 0.000187081
20010 0.000196381
21010 0.000205465
22010 0.00021509
23010 0.00024375
24010 0.000243944
25010 0.000244323
26010 0.00025442
27010 0.000263879
28010 0.000273543
29010 0.000282686
30010 0.000292339
31010 0.000301823
32010 0.000310778
33010 0.000320703
34010 0.00033008
35010 0.000340193
36010 0.000349245
37010 0.0003873
38010 0.000369179
39010 0.000378196
40010 0.000387726
41010 0.000397867
42010 0.000407559
43010 0.000416516
44010 0.000425857
45010 0.000461382
46010 0.000445783
47010 0.000480333
48010 0.000464743
49010 0.000474223
50010 0.000483844
51010 0.000493327
52010 0.000503726
53010 0.000512638
54010 0.000522326
55010 0.000557515
56010 0.000541692
57010 0.000551674
58010 0.000560757
59010 0.000570291
60010 0.000580092
61010 0.000589677
62010 0.00062526
63010 0.000608799
64010 0.000618273
65010 0.000654269
66010 0.000701526
67010 0.00064754
68010 0.000662067
69010 0.000665389
70010 0.000674937
71010 0.000684987
72010 0.000694315
73010 0.000728107
74010 0.000722374
75010 0.000723541
76010 0.000733019
77010 0.000742594
78010 0.0007521
79010 0.000765557
80010 0.000770693
81010 0.000779888
82010 0.00078987
83010 0.000799193
84010 0.000811203
85010 0.000818551
86010 0.000827987
87010 0.000837662
88010 0.000847343
89010 0.000859997
90010 0.000866248
91010 0.000875988
92010 0.000909733
93010 0.000926262
94010 0.000905339
95010 0.00091456
96010 0.000923631
97010 0.000933082
98010 0.000947168
99010 0.000951901
